year,country,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1744,Albania,57.311375,14.061875,2.243
1744,Andorra,53.89295,12.16275,2.176625
1744,Austria,46.01255,7.78475,2.08025
1744,Belarus,46.579325,8.099625,2.41775
1744,Belgium,51.2258,10.681,1.846375
1744,Bosnia And Herzegovina,53.63555,12.01975,2.35675
1744,Bulgaria,54.1112,12.284,2.524625
1744,Croatia,55.31045,12.95025,2.264625
1744,Czech Republic,48.645275,9.247375,1.983125
1744,Denmark (Europe),48.43445,9.13025,1.761875
1744,Estonia,44.48795,6.93775,1.933625
1744,Europe,48.911675,9.395375,1.845625
1744,Faroe Islands,44.316275,6.842375,1.927375
1744,Finland,38.24375,3.46875,2.80275
1744,France,56.498225,13.610125,2.00475
1744,France (Europe),52.693025,11.496125,2.081875
1744,Germany,49.174925,9.541625,1.81025
1744,Greece,61.1627,16.2015,2.12275
1744,Guernsey,52.903175,11.612875,1.846375
1744,Hungary,52.81475,11.56375,2.33825
1744,Iceland,35.68865,2.04925,2.584625
1744,Ireland,49.93115,9.96175,1.819125
1744,Isle Of Man,49.931825,9.962125,1.82175
1744,Italy,57.2108,14.006,1.913125
1744,Jersey,52.903175,11.612875,1.846375
1744,Latvia,45.284225,7.380125,1.977
1744,Liechtenstein,42.960425,6.089125,2.144375
1744,Lithuania,46.296275,7.942375,2.033125
1744,Luxembourg,50.77985,10.43325,1.9105
1744,Macedonia,53.69945,12.05525,2.464625
1744,Moldova,52.11365,11.17425,2.777625
1744,Monaco,50.418725,10.232625,1.959625
1744,Montenegro,53.269475,11.816375,2.3385
1744,Netherlands,51.182375,10.656875,1.75875
1744,Netherlands (Europe),50.516825,10.287125,1.724875
1744,Norway,34.697075,1.498375,2.513
1744,Poland,48.778025,9.321125,2.025375
1744,Romania,51.373175,10.762875,2.560875
1744,Saint Pierre And Miquelon,42.66095,5.92275,2.328
1744,San Marino,59.260325,15.144625,2.044375
1744,Serbia,53.181725,11.767625,2.525125
1744,Slovakia,48.766325,9.314625,2.1795
1744,Slovenia,52.223,11.235,2.185875
1744,Spain,58.167275,14.537375,2.2205
1744,Sweden,39.453125,4.140625,2.35
1744,Switzerland,47.032925,8.351625,2.075625
1744,Ukraine,49.994825,9.997125,2.782875
1744,United Kingdom,48.35885,9.08825,1.78775
1744,United Kingdom (Europe),48.853625,9.363125,1.806
1745,Albania,42.05885,5.58825,2.169
1745,Andorra,42.0143,5.5635,2.0905
1745,Austria,30.24095,-0.97725,1.92275
1745,Belarus,25.5839,-3.5645,2.26425
1745,Belgium,38.25005,3.47225,1.62025
1745,Bosnia And Herzegovina,37.7231,3.1795,2.269
1745,Bulgaria,36.72905,2.62725,2.46075
1745,Croatia,39.272,4.04,2.16025
1745,Czech Republic,32.099,0.055,1.77475
1745,Denmark (Europe),32.61065,0.33925,1.351
1745,Estonia,22.83395,-5.09225,1.59275
1745,Europe,32.49455,0.27475,1.7095
1745,Faroe Islands,37.24385,2.91325,1.6665
1745,Finland,15.65555,-9.08025,2.5545
1745,France,46.30955,7.94975,1.9265
1745,France (Europe),40.44605,4.69225,1.9535
1745,Germany,34.10465,1.16925,1.5425
1745,Greece,45.88925,7.71625,2.059
1745,Guernsey,43.41245,6.34025,1.68375
1745,Hungary,35.357,1.865,2.221
1745,Iceland,25.601,-3.555,2.4635
1745,Ireland,41.4959,5.2755,1.63725
1745,Isle Of Man,40.65305,4.80725,1.59575
1745,Italy,42.98495,6.10275,1.81075
1745,Jersey,43.41245,6.34025,1.68375
1745,Latvia,24.43775,-4.20125,1.67575
1745,Liechtenstein,28.1255,-2.1525,1.988
