g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1850-01-01,33.3482,0.7490000000000001,1.105,46.8356,8.241999999999999,1.7380000000000002,26.2292,-3.2060000000000004,2.822,55.0994,12.832999999999998,0.3670000000000001
1850-02-01,37.5278,3.071,1.275,49.946,9.97,3.0069999999999997,27.876199999999997,-2.2910000000000004,1.6230000000000002,56.4584,13.588,0.414
1850-03-01,40.9172,4.954,0.955,50.6246,10.347,2.401,28.570999999999998,-1.905,1.41,57.2774,14.043,0.341
1850-04-01,44.9906,7.217,0.665,55.2812,12.934000000000001,1.004,33.8324,1.018,1.329,58.4006,14.667,0.267
1850-05-01,50.0072,10.004,0.617,60.179,15.655,2.406,38.8598,3.8110000000000004,1.347,59.9126,15.507,0.249
1850-06-01,55.67,13.15,0.614,66.1028,18.945999999999998,2.8169999999999997,44.790800000000004,7.106,0.857,61.4354,16.352999999999998,0.245
1850-07-01,58.0856,14.492,0.614,66.6194,19.233,2.84,46.4252,8.014,0.7859999999999999,62.2094,16.783,0.23800000000000002
1850-08-01,57.2702,14.039,0.802,65.2586,18.477,2.079,45.330799999999996,7.405999999999999,1.0859999999999999,62.0924,16.718,0.28
1850-09-01,52.709,11.505,0.675,60.522800000000004,15.846000000000002,2.6919999999999997,40.159400000000005,4.533,1.798,60.5948,15.886,0.254
1850-10-01,46.5638,8.091000000000001,0.863,55.7402,13.189,2.338,35.6234,2.013,2.133,58.6958,14.831,0.297
1850-11-01,40.519400000000005,4.7330000000000005,1.149,52.498400000000004,11.388,3.491,31.784,-0.12,1.069,57.0146,13.897,0.368
1850-12-01,37.0454,2.803,1.183,45.487399999999994,7.4929999999999986,1.925,26.9474,-2.8070000000000004,2.594,55.94,13.3,0.37799999999999995
1851-01-01,36.3758,2.431,1.122,48.111799999999995,8.950999999999997,2.399,27.6026,-2.443,1.771,55.840999999999994,13.245,0.36200000000000004
1851-02-01,36.5144,2.508,1.1,49.654399999999995,9.808,2.654,29.2874,-1.507,2.714,55.9958,13.331,0.361
1851-03-01,39.5456,4.192,0.971,52.712599999999995,11.507,2.037,30.74,-0.7000000000000001,1.611,57.0146,13.897,0.33
1851-04-01,45.1166,7.286999999999999,0.8290000000000001,57.6248,14.236,1.97,36.1958,2.331,1.281,58.352000000000004,14.64,0.298
1851-05-01,52.0034,11.113,0.9359999999999999,59.018,15.010000000000002,3.1839999999999997,39.4448,4.136,1.011,60.3878,15.770999999999999,0.322
1851-06-01,56.1524,13.418,0.655,63.118399999999994,17.287999999999997,3.187,43.473200000000006,6.3740000000000006,1.13,61.692800000000005,16.496000000000002,0.261
1851-07-01,58.1558,14.531,0.606,62.785399999999996,17.102999999999998,3.7510000000000003,45.365,7.425,1.48,62.2958,16.831,0.244
1851-08-01,56.7518,13.751,0.775,63.24979999999999,17.360999999999994,1.392,43.870999999999995,6.594999999999999,1.281,61.9178,16.621000000000002,0.276
1851-09-01,53.0186,11.677,0.581,61.44800000000001,16.360000000000007,2.496,41.945,5.525,1.643,60.904399999999995,16.058,0.25
